t_ms,target,cps,band_lo,band_hi
200,300.0,188.75,291.0,309.0
300,300.0,210.68,291.0,309.0
400,300.0,225.0,291.0,309.0
500,300.0,237.5,291.0,309.0
600,300.0,250.23,291.0,309.0
700,300.0,252.5,291.0,309.0
800,300.0,262.5,291.0,309.0
900,300.0,270.0,291.0,309.0
1000,300.0,277.5,291.0,309.0
1100,300.0,277.5,291.0,309.0
1200,300.0,280.0,291.0,309.0
1300,300.0,290.0,291.0,309.0
1400,300.0,287.5,291.0,309.0
1500,300.0,287.5,291.0,309.0
1600,300.0,289.77,291.0,309.0
1700,300.0,295.0,291.0,309.0
1800,300.0,297.27,291.0,309.0
1900,300.0,300.0,291.0,309.0
2000,300.0,300.0,291.0,309.0
2100,300.0,297.27,291.0,309.0
2200,300.0,298.52,291.0,309.0
2300,300.0,302.5,291.0,309.0
2400,300.0,295.0,291.0,309.0
2500,300.0,302.27,291.0,309.0
2600,300.0,300.0,291.0,309.0
2700,300.0,297.05,291.0,309.0
2800,300.0,300.0,291.0,309.0
2900,300.0,300.0,291.0,309.0
3000,300.0,297.27,291.0,309.0
3100,300.0,300.0,291.0,309.0
3200,300.0,299.55,291.0,309.0
3300,300.0,297.5,291.0,309.0
3400,300.0,300.0,291.0,309.0
3500,300.0,297.27,291.0,309.0
3600,300.0,300.0,291.0,309.0
3700,300.0,299.77,291.0,309.0
3800,300.0,297.5,291.0,309.0
3900,300.0,302.5,291.0,309.0
4000,300.0,300.0,291.0,309.0
4100,300.0,299.77,291.0,309.0
4200,300.0,299.17,291.0,309.0
4300,300.0,299.55,291.0,309.0
4400,300.0,297.27,291.0,309.0
4500,300.0,302.5,291.0,309.0
4600,300.0,299.77,291.0,309.0
4700,300.0,297.5,291.0,309.0
4800,300.0,300.0,291.0,309.0
4900,300.0,300.0,291.0,309.0
5000,300.0,297.27,291.0,309.0
5100,300.0,302.27,291.0,309.0
5200,300.0,300.0,291.0,309.0
5300,300.0,297.5,291.0,309.0
5400,300.0,300.0,291.0,309.0
5500,300.0,302.27,291.0,309.0
5600,300.0,297.27,291.0,309.0
5700,300.0,300.19,291.0,309.0
5800,300.0,300.0,291.0,309.0
5900,300.0,297.05,291.0,309.0
6000,300.0,300.0,291.0,309.0
6100,300.0,302.5,291.0,309.0
6200,300.0,297.5,291.0,309.0
6300,300.0,300.0,291.0,309.0
6400,300.0,299.77,291.0,309.0
6500,300.0,297.27,291.0,309.0
6600,300.0,302.5,291.0,309.0
6700,300.0,300.0,291.0,309.0
6800,300.0,297.5,291.0,309.0
6900,300.0,299.77,291.0,309.0
7000,300.0,299.55,291.0,309.0
7100,300.0,300.0,291.0,309.0
7200,300.0,300.0,291.0,309.0
7300,300.0,297.5,291.0,309.0
7400,300.0,302.27,291.0,309.0
7500,300.0,300.0,291.0,309.0
7600,300.0,297.27,291.0,309.0
7700,300.0,300.0,291.0,309.0
7800,300.0,300.0,291.0,309.0
7900,300.0,299.77,291.0,309.0
8000,300.0,299.17,291.0,309.0
8100,300.0,299.55,291.0,309.0
8200,300.0,297.5,291.0,309.0
8300,300.0,302.27,291.0,309.0
8400,300.0,300.0,291.0,309.0
8500,300.0,297.27,291.0,309.0
8600,300.0,300.0,291.0,309.0
8700,300.0,300.0,291.0,309.0
8800,300.0,299.77,291.0,309.0
8900,300.0,300.0,291.0,309.0
9000,300.0,299.77,291.0,309.0
9100,300.0,297.5,291.0,309.0
9200,300.0,300.0,291.0,309.0
9300,300.0,302.05,291.0,309.0
9400,300.0,297.5,291.0,309.0
9500,300.0,302.05,291.0,309.0
9600,300.0,295.0,291.0,309.0
9700,300.0,302.5,291.0,309.0
9800,300.0,302.27,291.0,309.0
9900,300.0,298.52,291.0,309.0
10000,300.0,297.5,291.0,309.0
10100,300.0,302.5,291.0,309.0
10200,300.0,299.77,291.0,309.0
10300,300.0,297.5,291.0,309.0
10400,300.0,299.55,291.0,309.0
10500,300.0,297.5,291.0,309.0
10600,300.0,300.0,291.0,309.0
10700,300.0,302.27,291.0,309.0
10800,300.0,297.5,291.0,309.0
10900,300.0,299.55,291.0,309.0
11000,300.0,300.0,291.0,309.0
11100,300.0,297.5,291.0,309.0
11200,300.0,299.77,291.0,309.0
11300,300.0,302.5,291.0,309.0
11400,300.0,297.27,291.0,309.0
11500,300.0,302.5,291.0,309.0
11600,300.0,300.0,291.0,309.0
11700,300.0,297.69,291.0,309.0
11800,300.0,302.27,291.0,309.0
11900,300.0,300.0,291.0,309.0
12000,300.0,297.5,291.0,309.0
12100,300.0,299.55,291.0,309.0
12200,300.0,300.0,291.0,309.0
12300,300.0,299.77,291.0,309.0
12400,300.0,300.0,291.0,309.0
12500,300.0,300.0,291.0,309.0
12600,300.0,297.05,291.0,309.0
12700,300.0,302.5,291.0,309.0
12800,300.0,304.55,291.0,309.0
12900,300.0,297.5,291.0,309.0
