t_ms,target,cps,band_lo,band_hi
200,300.0,193.75,,
300,300.0,208.18,,
400,300.0,225.0,,
500,300.0,242.5,,
600,300.0,252.73,,
700,300.0,257.5,,
800,300.0,265.23,,
900,300.0,265.0,,
1000,300.0,277.5,,
1100,300.0,282.5,,
1200,300.0,277.5,,
1300,300.0,289.77,,
1400,300.0,292.5,,
1500,300.0,290.0,,
1600,300.0,292.27,,
1700,300.0,292.5,,
1800,300.0,289.77,,
1900,300.0,295.0,,
2000,300.0,302.69,,
2100,300.0,302.5,,
2200,300.0,304.77,,
2300,300.0,297.5,,
2400,300.0,295.0,,
2500,300.0,304.77,,
2600,300.0,305.0,,
2700,300.0,294.77,,
2800,300.0,300.0,,
2900,300.0,305.0,,
3000,300.0,294.77,,
3100,300.0,300.0,,
3200,300.0,302.05,,
3300,300.0,295.0,,
3400,300.0,300.0,,
3500,300.0,302.05,,
3600,300.0,302.5,,
3700,300.0,297.27,,
3800,300.0,300.0,,
3900,300.0,300.77,,
4000,300.0,305.0,,
4100,300.0,297.27,,
4200,300.0,290.0,,
4300,300.0,300.0,,
4400,300.0,302.05,,
4500,300.0,302.5,,
4600,300.0,304.77,,
4700,300.0,295.0,,
4800,300.0,300.0,,
4900,300.0,302.5,,
5000,300.0,302.05,,
5100,300.0,297.27,,
5200,300.0,300.0,,
5300,300.0,302.5,,
5400,300.0,302.5,,
5500,300.0,297.05,,
5600,300.0,297.05,,
5700,300.0,305.0,,
5800,300.0,295.0,,
5900,300.0,297.5,,
6000,300.0,303.04,,
6100,300.0,302.5,,
6200,300.0,302.5,,
6300,300.0,297.5,,
6400,300.0,299.77,,
6500,300.0,302.27,,
6600,300.0,297.5,,
6700,300.0,297.5,,
6800,300.0,302.5,,
6900,300.0,302.05,,
7000,300.0,294.77,,
7100,300.0,300.0,,
7200,300.0,305.0,,
7300,300.0,292.5,,
7400,300.0,302.27,,
7500,300.0,302.5,,
7600,300.0,302.05,,
7700,300.0,297.5,,
7800,300.0,298.85,,
7900,300.0,299.77,,
8000,300.0,305.0,,
8100,300.0,297.5,,
8200,300.0,297.5,,
8300,300.0,304.77,,
8400,300.0,297.5,,
8500,300.0,297.27,,
8600,300.0,302.5,,
8700,300.0,305.0,,
8800,300.0,294.77,,
8900,300.0,300.0,,
9000,300.0,304.55,,
9100,300.0,292.5,,
9200,300.0,300.0,,
9300,300.0,304.77,,
9400,300.0,300.0,,
9500,300.0,304.55,,
9600,300.0,295.0,,
9700,300.0,300.0,,
9800,300.0,302.05,,
9900,300.0,298.11,,
10000,300.0,297.5,,
10100,300.0,305.0,,
10200,300.0,297.27,,
10300,300.0,297.5,,
10400,300.0,302.05,,
10500,300.0,302.5,,
10600,300.0,297.5,,
10700,300.0,299.77,,
10800,300.0,300.0,,
10900,300.0,304.77,,
11000,300.0,297.5,,
11100,300.0,290.0,,
11200,300.0,302.27,,
11300,300.0,302.5,,
11400,300.0,302.27,,
11500,300.0,305.0,,
11600,300.0,297.5,,
11700,300.0,289.77,,
11800,300.0,301.02,,
11900,300.0,302.5,,
12000,300.0,302.5,,
12100,300.0,302.27,,
12200,300.0,305.0,,
12300,300.0,297.27,,
12400,300.0,292.5,,
12500,300.0,300.0,,
12600,300.0,299.55,,
12700,300.0,305.0,,
12800,300.0,304.77,,
12900,300.0,295.0,,
13000,300.0,300.0,,
13100,300.0,299.77,,
13200,300.0,305.0,,
13300,300.0,297.27,,
13400,300.0,297.5,,
13500,300.0,300.0,,
13600,300.0,305.19,,
13700,300.0,297.27,,
13800,300.0,297.5,,
13900,300.0,305.0,,
14000,300.0,294.77,,
14100,300.0,300.0,,
14200,300.0,304.77,,
14300,300.0,292.5,,
14400,300.0,300.0,,
14500,300.0,305.0,,
14600,300.0,302.27,,
14700,300.0,297.27,,
14800,300.0,300.0,,
14900,300.0,300.0,,
15000,300.0,305.0,,
15100,300.0,297.27,,
15200,300.0,289.77,,
15300,300.0,300.0,,
15400,300.0,305.0,,
15500,300.0,302.5,,
15600,300.0,302.24,,
15700,300.0,300.0,,
15800,300.0,290.0,,
15900,300.0,300.0,,
16000,300.0,302.27,,
16100,300.0,302.05,,
16200,300.0,305.0,,
16300,300.0,305.0,,
16400,300.0,295.0,,
16500,300.0,299.77,,
16600,300.0,302.05,,
16700,300.0,297.5,,
16800,300.0,300.0,,
16900,300.0,300.0,,
17000,300.0,304.55,,
17100,300.0,297.5,,
17200,300.0,289.77,,
17300,300.0,300.0,,
17400,300.0,305.0,,
17500,300.0,304.55,,
17600,300.0,296.25,,
17700,300.0,299.77,,
17800,300.0,300.0,,
17900,300.0,304.77,,
18000,300.0,297.5,,
18100,300.0,297.27,,
18200,300.0,305.0,,
18300,300.0,297.5,,
18400,300.0,297.27,,
18500,300.0,305.0,,
18600,300.0,297.05,,
18700,300.0,297.5,,
18800,300.0,305.0,,
18900,300.0,297.27,,
19000,300.0,297.5,,
19100,300.0,304.55,,
19200,300.0,305.0,,
19300,300.0,296.35,,
19400,300.0,292.5,,
19500,300.0,299.77,,
19600,300.0,302.5,,
19700,300.0,302.5,,
19800,300.0,304.55,,
19900,300.0,295.0,,
20000,300.0,299.55,,
20100,300.0,302.5,,
20200,300.0,302.5,,
20300,300.0,299.77,,
20400,300.0,287.5,,
20500,300.0,299.77,,
20600,300.0,305.0,,
20700,300.0,300.0,,
20800,300.0,304.55,,
20900,300.0,305.0,,
21000,300.0,294.77,,
21100,300.0,300.0,,
21200,300.0,305.0,,
21300,300.0,297.27,,
21400,300.0,293.52,,
21500,300.0,297.5,,
21600,300.0,302.5,,
21700,300.0,302.05,,
21800,300.0,305.0,,
21900,300.0,297.05,,
22000,300.0,300.0,,
22100,300.0,302.5,,
22200,300.0,294.77,,
22300,300.0,300.0,,
22400,300.0,304.55,,
22500,300.0,295.0,,
22600,300.0,300.0,,
22700,300.0,299.77,,
22800,300.0,305.0,,
22900,300.0,297.27,,
23000,300.0,295.0,,
23100,300.0,305.0,,
23200,300.0,305.0,,
23300,300.0,297.27,,
23400,300.0,296.67,,
23500,600.0,304.55,0.0,0.0
23600,600.0,329.09,0.0,0.0
23700,600.0,372.5,0.0,0.0
23800,600.0,413.64,0.0,0.0
23900,600.0,435.0,0.0,0.0
24000,600.0,467.5,0.0,0.0
24100,600.0,495.0,0.0,0.0
24200,600.0,505.45,0.0,0.0
24300,600.0,525.23,0.0,0.0
24400,600.0,532.5,0.0,0.0
24500,600.0,540.0,0.0,0.0
24600,600.0,557.5,0.0,0.0
24700,600.0,569.77,0.0,0.0
24800,600.0,564.77,0.0,0.0
24900,600.0,580.0,0.0,0.0
25000,600.0,584.04,0.0,0.0
25100,600.0,574.32,0.0,0.0
25200,600.0,587.5,0.0,0.0
25300,600.0,592.5,0.0,0.0
25400,600.0,590.0,0.0,0.0
25500,600.0,592.5,0.0,0.0
25600,600.0,594.55,0.0,0.0
25700,600.0,589.55,0.0,0.0
25800,600.0,595.0,0.0,0.0
25900,600.0,595.0,0.0,0.0
26000,600.0,587.5,0.0,0.0
26100,600.0,599.32,0.0,0.0
26200,600.0,599.32,0.0,0.0
26300,600.0,605.0,0.0,0.0
26400,600.0,602.5,0.0,0.0
26500,600.0,600.0,0.0,0.0
